"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 21:48:55 GMT 2024","Sun Feb 18 21:48:55 GMT 2024","234","Settings","administrators","Invite an admin > Invite","","","Successful invite",""
"passed","Sun Feb 18 21:49:23 GMT 2024","Sun Feb 18 21:49:23 GMT 2024","145","Settings","accounts","passwords > reset-otp","","","/v1/accounts/passwords/reset-otp",""
"passed","Sun Feb 18 21:49:25 GMT 2024","Sun Feb 18 21:49:25 GMT 2024","145","Settings","New Folder","BillTransactionLogs > lookup","","","/api/v1/BillTransactionLogs/lookup",""
"passed","Sun Feb 18 21:48:45 GMT 2024","Sun Feb 18 21:48:45 GMT 2024","186","Businesses","Manage business","Business Status (Active/Deactivated)","","","Activate/Deactivate a blacklisted business",""
"passed","Sun Feb 18 21:49:24 GMT 2024","Sun Feb 18 21:49:24 GMT 2024","157","Settings","New Folder","BillTransactionLogs > confirm-by-reference > {reference}","","","/api/v1/BillTransactionLogs/confirm-by-reference/:reference",""
"passed","Sun Feb 18 21:49:01 GMT 2024","Sun Feb 18 21:49:02 GMT 2024","284","Settings","userpermissions","List a single permission","","","/v1/userpermissions/:id",""
"passed","Sun Feb 18 21:48:42 GMT 2024","Sun Feb 18 21:48:42 GMT 2024","287","Transactions","statement","","","","/api/transactions/statement",""
"passed","Sun Feb 18 21:48:47 GMT 2024","Sun Feb 18 21:48:48 GMT 2024","361","Businesses","Manage business","View a business","","","View Single Business",""
"passed","Sun Feb 18 21:48:41 GMT 2024","Sun Feb 18 21:48:41 GMT 2024","238","Transactions","status","","","","/api/transactions/status",""
"passed","Sun Feb 18 21:48:59 GMT 2024","Sun Feb 18 21:48:59 GMT 2024","227","Settings","administrators","Invite an admin > revoke-invite","","","Revoke Invite - Active user",""
"passed","Sun Feb 18 21:49:20 GMT 2024","Sun Feb 18 21:49:20 GMT 2024","144","Settings","Revamped KYC/KYB","sample > bvnComplete","","","/api/sample/bvnComplete",""
"passed","Sun Feb 18 21:49:24 GMT 2024","Sun Feb 18 21:49:24 GMT 2024","145","Settings","New Folder","BillTransactionLogs > query-paged > {page} > {pagesize} > {whereCondition}","","","Retrieve paginated log for pagination template",""
"passed","Sun Feb 18 21:48:57 GMT 2024","Sun Feb 18 21:48:57 GMT 2024","253","Settings","administrators","Invite an admin > accept-invite","","","Phone number required",""
"passed","Sun Feb 18 21:48:44 GMT 2024","Sun Feb 18 21:48:44 GMT 2024","195","Businesses","Manage business","KYB","","","Decline buisness",""
"passed","Sun Feb 18 21:48:47 GMT 2024","Sun Feb 18 21:48:47 GMT 2024","174","Businesses","Manage business","export","","","Export - No authorization",""
